,answer,label
0,정신과 정상 개념 자체 절대 기준 개인 전체 평가 사회 상황 고려 숙고 내용 유의 질병 상태 검사 경우 의료 보험 적용 포함 건강 검진 개념 해당 때문 비용 부담 발생,1
1,졸음 병원 방문 이유 부작용 대처 주일 정도 중단 상태 기간 이상 지속 의심 야간 수면 경우 코골이 비염 비폐색 수면 주간 피로감 우울증 불안 증상 이후 발생 경우 유발 주간 증상 선후 관계 약물 처방 수면 관련 종합 평가,5
2,작성 내용 주의 분산 주의력 저하 모습 보통 성인 주의력 원인 불안 경우 과도 긴장 초조 주의 분산 집중 유지 우울 경우 주의력 저하 하나 특정 상황 전반 생활 영역 주의력 자체 질환 고려 불안 때문 청심환 긴장 일부 효과 기분 종류 도움 주의력 저하 일상 영향 다면 정신 건강 의학 방문 상담,4
3,벤라팍신 정도 용량 얼마 기간 동안 사용 중요 벤라팍신 경우 용량 감량 며칠 금단 관련 증상 대표 심박수 혈압 변화 심혈 관계 부작용 작성 무력감 식은땀 악몽 동반 나시프 벤라팍신 작용 감량 동시 사용 시작 부작용 변경 얼마 최소 정도 유지 이후 증상 지속 주치의 상의 변경 조정,5
4,정신병 증상 개념 현실 검증 유무 정신병 경우 현실 검증 저하 표현 현실 증력 자신 환경 관계 구분 생각 현실 검증 대표 증상 사고 영역 망상 지각 영역 환각 환청 환시 주요 우울증 정신병 증상 동반 경우 환각 망상 사고 동반 일반,3
5,세로토닌 도파민 대표 신경 전달 물질 부분 분포 수용체 작용 영향 가지 신경 전달 물질 길항 대항 효과 작용 설명 신경 전달 물질 종류 다양 분포 다양 최종 작용 결과 설명 사이 단순 길항 관계 부위 반대 작용 상호 보완 영역 차이 때문 관계 한마디 정의,1
6,타자 정제 말씀 사용 목적 용법 일반 우울증 불안 장애 치료 목적 사용 시작 용량 무리 타자 경우 용량 부작용 용량 경우 주의,6
7,자체 기준 자체 말씀 용량 기준 설명 우울증 불안 장애 권장 사용 렉사 프로 용량 빌리 파이 경우 우울증 보조 요법 조울증 조현 광범위 사용 약물 판매 용량 진단 용법 확인 약물 용량 확인 용량 진단 부작용 효과 개인 차이,6
8,카세린 특정 세로토닌 수용체 선택 작용 비만 치료제 식욕 저하 효과 목표 개발 중요 선택 치료 용량 선택 작용 식욕 저하 효과 용량 초과 작용 선택 기능 세로토닌 수용체 작용 경우 환청 행복감 해리 증상 위험 치료 용량 사용 경우 우울 자살 사고 유발 조울증 진단 가능 경우 사용 금기 신중 사용 단순 약물 용량 체내 농도 요인 기분 변화 유발 때문 기분 변화 가능 고려 주치 선생 가지 결정,2
9,작성 정신 건강 의학 방약 소염 진통제 생리통 사용 단기간 소량 경우 장기간 과량 복용 간기능 신장 기능 무리 사용 복용 수면제 용도 처방 약물 향정 신성 의약품 약물 카세 유발 가능 경험 경우,5
10,다한증 특정 진료 과목 진료 일반 다한증 일반외과 전문 진료 상황 불안 긴장 상황 발생 불안 치료 정신 건강 학과,1
11,조치 개월 진료 경우 입원 치료 병역 문제 문제 신뢰 진료 일정 기간 경과 관찰 필요 때문 입원 치료 사유 조치 작성 확인 일부 증상 질환 경우 입원 확인 경우 진료 대학 병원 입원 치료 필요 구체 질문 내용 확인 결정,2
12,정신과 처방 약품 전문 의약품 의사 처방 사용 가능 일부 약물 향정 신성 의약품 관련 관리 약일 사용 주의 필요 작성 약물 향정 신성 의약품 기분 안정 항경 련제 항우울제 포함 일반 사용 용량 범위 관련 증상 경우 복용 부작용 증상 평가 상태 복용 경우 예상 부작용 처방 용법 복용,2
13,비만 치료 목적 처방 식욕 억제제 경우 의존 내성 금단 현상 보통 개월 이내 단기간 처방 권고 작성 일반 처방 기간 부작용 중단 상황 중단 금단 증상 원칙 용량 감량 중단 불면 기분 변화 약물 처방 완화 필요 의지 상황 정신 건강 의학 방문 전문가 도움,5
14,정신 건강 의학 진료 진료 마찬가지 건강 보험 적용 가능 의료 급여 경우 진료 적용 방문 회수 제한 일반 진료 경우 제한 경우 부담 정신 건강 의학 방문,2
15,더럴 암페타민 계열 약물 국내 판매 약물 계열 치료 국내 허가 자극제 메틸 페니 데이트 계열 치료 토모세 클로니딘 약물 사용,4
16,진료비 검사 제비 정신 요법 처치 추가 건강 보험 적용 여부 적용 확인 문의 진료비 내역 진료 해당 의원 문의 진료비 세부 내역 확인 병원 시행 급여 검사 방침 차이 가격 차이 발생 평균 가격 확인,5
17,선택 세로토닌 재흡수 억제제 세로토닌 재흡수 억제제 하위 개념 특성 공통 개념 생각 기능 약제 이외 카테고리 약물 세로토닌 재흡수 선택 억제 때문 구분지 명명,4
18,우울증 불면 불안 증상 치료 렉사 프로 대표 항우울제 하루 사용 가능 약물 약제 통상 사용 용량 무기력 약물 우울 증상 판정 최근 증량 증상 약물 가능 반면 치료 시작 비교 차이 정도 증상 필요 항우울제 변경 용량 복용 시간 조절 필요 약물 부작용 발생 약물 용량 용법 변경 주치 선생 상의 결정 조심,5
19,프람 레노 목적 확인 필요 레노 불면 조절 사용 용도 약제 불면증 조절 사용 장기간 사용 안전 프람 경우 기간 사용 내성 가능 장기간 사용 권고 마름 부작용 레노 대표 부작용 필요시 용량 필요 처방 선생 상의 용량 조절 불면 관련 평가 심층 시행 약물 사용 조절,4
20,벤라팍신 세로토닌 노르에피네프린 가지 재흡수 억제 계열 약물 과민 대장 증후군 사용 벤라팍신 용량 세로토닌 작용 효과 때문 처방 용량 사용 세로토닌 수용체 작용 위장 관계 부작용 때문 식사 복용 약물 흡수 때문 공복 수면 시간 식사 오심 위장 관계 부작용 대부분 초기 부작용 가능,5
21,항우울제 전문 의약품 의사 처방 처방 가능 전문의 평가 진단 항우울제 사용 필요 판단 처방 진료 과목 마찬가지 처방 증상 평가 필요 정신 건강 학과 전문의 정신과 면담 필수 평가 과정 처방 경우 정도 상담 필요 생각,5
22,항우울제 복용 일반 약물 효과 적정 용량 복용 보통 효과 불안 신경 안정제 초반 사용 항우울제 효과 일반 작성 약물 효과 시기 기분 변화 항우울제 치료 느낌 용량 기간,5
23,작성 내용 월경 전불 쾌감 증후군 해당 내용 월경 시작 증상 월경 시작 특징 월경 증상 치료 시작 증상 일상 생활 기능 수행 수면 식사 직업 대인 관계 영향 다면 치료 고려 항우울제 사용 도움 항우울제 사용법 논란 소량 지속 유지,1
24,수행 불안 효과 판매 정제 복용 종류 필요 숫자 감소 목적 사용 보통 정도 사용 최대 복용량 정도 사용 작성 평소 복용 증량 경우 혈압 저하 심박동 저하 쇼크 호흡 저하 동반 가능 사용 증량 효과 확인 사용 의사 투약 지시 복용 여부 결정 정신 건강 학과 신경과 방문 도움,2
25,생산 변질 우려 때문 약물 유효 기한 대부분 경우 의원 기간 초과 처방 때문 처방 기간 문제 식품 유통 가능 기간 비교 처방 기간 경우 유통 기간 때문 가급적,2
26,어머님 정신과 문제 고민 작성 어머님 신체 관련 왜곡 생각 가족 정신 문제 생각 이해 현행 료법 환자 본인 경우 대신 진료 허용 정신과 경우 단순 문제 행동 진단 환자 관찰 경과 필요 보호자 방문 진료 상태 어머님 설득 병원 최선 방법,1
27,안녕 대한의사협회 네이버 지식 상담 의사 용석 학교 폭력 경우 피해자 해자 일상 생활 지장 초래 증상 정신 진료 경우 정신과 책임 소재 잘잘못 증상 경감 마음 상처 치료 개념 생각,3
