,answer,category,question,title
0,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

정신과에서 정상이라는 개념 자체가 절대적인 기준을 가지고 있지는 않습니다. 한 개인의 전체적인 평가와 함께 사회적인 상황도 고려해야하는 등 숙고해야할 내용이 많습니다.

특히 현재 유의한 질병상태가 없음에도 검사를 해야하는 경우에는 의료보험의 적용에 포함되지 않는 건강검진의 개념에 해당하기 때문에 비용 부담이 발생할 수밖에 없을 것 같습니다.",정신건강의학과,"신경정신과에 가서 정상이라는 소견서(진단서)만 받고 싶은데,
별다른 검사없이 몇번의 상담진료를 받고, 정상소견을 받고 싶다 하면 가능한가요?
종합검사비가 너무비싸서 굳이 해야되나 싶고 부담스러워서요...",신경정신과 정상소견서
1,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

졸음이 병원을 방문하신 이유인지, 약을 드시고 생긴 부작용인지에 따라 대처가 다를 것 같습니다.

약을 먹고 생겼던 졸리움이라면 1주일 정도 중단하셨으면 원상태로 돌아와야 하는 기간입니다.
하지만 그럼에도 1주 이상 졸리움이 지속된다면 다른 것을 의심해보아야 합니다.

가장 흔한 것은 야간 수면의 질이 떨어지는 경우입니다.
코골이가 있거나, 비염, 비폐색 등으로 수면의 질이 좋지 않을때 주간 피로감과 졸리움이 심해집니다.
물론 우울증이나 불안증상 이후 발생하는 나른함의 경우도 졸리움을 유발할 수 있습니다.
따라서 주간 졸리움과 여러 증상과의 선후관계를 살펴보야 적절한 약물을 재처방받거나, 수면과 관련된 종합적인 평가를 받아보는 것이 좋겠습니다.",정신건강의학과,"우울증을 먹고 상담 후 약을 바꿨음에도 졸음현상이
호전되지 않아 1달반정도 버티다 복용을 중단하였습니다.
중단한지도 일주일정도 됐는데 졸음현상이 호전되지
않습니다.
담당의사도 이제 신뢰하기 어렵네요.
학생이라 공부해야하는데 하루의 반 이상을 잠으로 보내고 있습니다.
저 좀 도와주세요 제발...",우울증 복용관련질문드립니다.
2,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

작성하신 내용은 쉽게 주의가 분산되는 (distractibility) 것으로 주의력이 저하될 때 나타나는 모습입니다.

보통 성인에서 주의력이 떨어지는 가장 흔한 원인은 불안인 경우가 많습니다.
과도하게 긴장하거나 초조할 때 주의가 분산되고, 집중이 유지되지 않기도 합니다.
또 우울감이 있는 경우에도 주의력이 저하되기도 하나, 이는 특정상황에서만 떨어지지는 않고 전반적인 생활 영역에서 나타납니다.
또한 ADHD와 같은 주의력 자체가 떨어지는 질환도 고려해야 할 것 같습니다.

불안 때문에 생기는 것이라면 청심환과 같이 긴장을 일부 줄여주는 약으로 효과가 있을 수 있지만, 기분이나 ADHD로 인한 것이라면 이런 종류의 약은 큰 도움이 되지 않을 것 같습니다.

위와 같은 주의력 저하가 일상에 큰 영향을 끼친다면 가까운 정신건강의학과 방문하시어 상담받아보는 것도 좋겠습니다.",정신건강의학과,"혼자서 공부하거나 문제를 풀 때는 괜찮은데요
사람 여럿 있는 학원이나 학교에서 
만약에 옆 사람이 다리를 떨거나, 손톱을 뜯거나, 펜을 흔들고 있는 등 거슬리는 행동을 하고 있다는 것을 '인식'하는 순간 수업이나 시험이 끝날때까지 계속 그것만 신경쓰게 됩니다. 
(아예 시야 밖이면 괜찮습니다.)
친구들이 모르는 것을 질문할 때도 옆에 친구가 바로 있으면 혹시나 틀릴까 하는 생각만 뇌를 점령해서 잘 가르쳐주지도 못하구요,  
오늘 학교 시험을 봤는데, 맨 앞자리에서 시험 감독 선생님들이 돌아다니시고 앞에서 지켜보고 있는 듯한 시선이 느껴지자 또 계속 그것만 인식해서 시험도 제대로 못 본 것 같습니다.
정말 핑계가 아니라 제가 이런 생각을 한다는 걸 스스로 인식하자 '아 옆에 사람이 다리 떨면 그것만 신경쓰게 된다' 이런식으로 스스로 강박 관념까지 만들어서 더 심해지는 것 같습니다.

청심환을 먹어볼까 하는데 도움이 될까요?",집중력이 너무 부족합니다
3,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

코펙사(벤라팍신)를 어느 정도의 용량을 얼마의 기간동안 사용했는지가 우선 중요할 것 같습니다.

벤라팍신의 경우 갑작스러운 용량의 감량이 있을 때 짧게는 며칠, 길게는 1-2주까지 금단과 관련된 증상이 나타날수 있습니다. 대표적인 것이 심박수, 혈압의 변화와 같은 심혈관계 부작용이고, 작성하신 것과 같은 졸리움, 나른함, 무력감, 식은땀, 악몽 등도 동반될 수 있습니다.
익셀(밀나시프란)도 벤라팍신과 비슷한 작용을 하는 약이기에 감량과 동시에 사용을 시작했다면 위와 같은 부작용은 덜 할 수도 있겠습니다.

변경하신지 얼마 되지 않았다면 최소 3-5일 정도는 유지해보시고 그 이후에도 위와 같은 증상이 지속될 때 주치의와 상의하여 변경 스케쥴을 조정하시는 것이 좋겠습니다.",정신건강의학과,코펙사항우울제를 처방받다가 익셀로 약물을 변경했는데. 먹고난후 몽롱함이 오면서약물 복용을 중단했음에도  하루가 넘어서도 몽롱함이 지속되고있습니다. 잠시약을 중지하면 몽롱함도 사라지는지요?,항우울제 부작용
4,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

정신병적 증상의 주된 개념은 현실검증력의 유무라 할 수 있습니다. 정신병이 있는 경우 현실검증력이 저하되었다고 표현하는데, 현실 검증력은 자신와 환경과의 관계를 명확하게 구분지을 수 있는지로 쉽게 생각할 수 있습니다.
현실검증력이 떨어진 대표적인 증상은 사고의 영역에서는 망상을 들 수 있으며, 지각의 영역에서는 환각(환청, 환시 등)을 들 수 있습니다. 주요 우울증에 정신병적 증상이 동반된 경우는 바로 이 환각이나 망상적 사고가 동반되었냐로 일반적으로 보고 있습니다.",정신건강의학과,"F32.2 정신병적 증상이 없는 중증의 우울성 에피소드
F32.3 정신병적 증상이 있는 중증의 우울성 에피소드

여기서 F32.2와 F32.3을 구분짓는 '정신병적 증상'이라 함은 어떤 예가 있는지 궁금합니다.",F32.2 / F32.3 '정신병적 증상'
5,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

작성하신 글의 내용을 보면 램수면행동장애(REM behavior disorder)에 해당하는 것 같습니다. 램수면 시에는 보통 꿈을 많이 꾸기 때문에 근육의 긴장도가 떨어져야 하나 램수면행동장애에서는 그렇지 않아 자면서 행동하는 여러 모습을 보이게 됩니다. 내용은 기억을 할 수도 있으나 그렇지 못한 경우도 많습니다.

보통 50세 이상의 남성에게서 주로 생기는데 일시적인 것일 수도 있으나 진행성 질환의 가능성도 배제할 수 없습니다. 특히 이러한 램수면행동장애가 있은 뒤 일부에서 파킨슨병이 발병하는 경우가 보고되기도 합니다. 치매의 가능성은 높지 않으나 수면의 질이 좋지 못하면 낮에 졸리거나 집중력이 떨어지기도 합니다. 또 이러한 퇴행성 변화 이외에도 우울, 불안 등의 증상으로 인한 수면 문제일 가능성도 살펴보아야 합니다.

특정 약물을 소량 사용하면 위의 증상은 호전되기는 하나 약물 사용 이전에 위에 언급한 여러가지에 대한 평가를 우선적으로 받는 것이 좋겠습니다. 파킨슨병과 관련된 부분은 신경과에서 전문적으로 평가 가능하며 수면과 다른 동반 증상은 정신건강의학과에서 평가받보시면 좋겠습니다.",정신건강의학과,"얼마전, 아버지가 한밤중에 방에 불을켜고 물건을 계속 찾으시더니 왜 그러시냐고 했더니 대답이 없이 물건을 찾으시고, 한참후에 몸이 불편하다고 하고 다시 방으로 돌아가서 주무셨어요. 그리고 다음날 여쭤봤더니 이 일을 잘 기억 못하시고 몸이 불편했던 기억만 난다거 하시네요. 이런일이 처음이라 너무 심란합니다. 올해 75세이신데, 매우 건강하시고, 운동도 가볍게 매일하시고, 책도 늘 보시고, 손주랑도 매일 잘 놀아주셔서 큰 걱정을 안했는데... 갑자기 너무 걱정이 됩니다. 치매검사나 이런 것을 해야할까요?",수면중 이상현상
6,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

1. 작성하신 내용의 어려움은 현재 정신과 진단체계에서는 사회공포증에 해당하는 것으로 보입니다. 대인기피증은 진단보다는 하나의 증상으로 표현하는 것이 어울릴것 같습니다. 사회공포증은 발표와 같이 시선이 집중되는 상황이나 낯선 사람과의 상황 등에서 공포에 가까운 불안증상을 경험하는 것으로 불안장애의 범주에 포함되어 있습니다.

2. 사회공포증은 여러가지 감별해야할 것이 있습니다. 따라서 다양한 정신병리에 대한 평가를 위해 정신건강의학과를 방문하여 기본적인 진료를 받는 것이 바람직합니다. 평가 이후 사회공포증 진단이 내려진다해서 반드시 약물치료를 하는 것은 아니니 부담없이 방문해보시면 좋겠습니다.

3. 편도는 일반적으로 발성과는 크게 관련이 있는 신체부위라 하기 어렵습니다. 호흡과 관련된 문제가 있을 수도 있으나 작성하신 것과 같이 특정상황에서만 증상이 나타난다면 기질적 문제 가능성(편도)은 낮아보입니다.

작성하신 것과 같은 어려움을 겪는 경우가 종종 있습니다. 단순히 소극적 성격이나 약한 의지의 문제로 생각하게 되면 문제의 해결이 어려워질 수도 있습니다. 가까운 정신건강의학과 방문하시어 도움받으시면 좋겠습니다.",정신건강의학과,"저는 올해 고3인 그냥 평범한 여자사람인데요
중학교때 남들 앞에서 발표하는게 두렵다고 처음 느낀 것 같아요
발표를 하면 숨이 고르게 안쉬어지고 심장은 터질듯이 뛰고 손발도떨려오고 얼굴도 빨개지고 얼굴근육이 경직되고 목소리도 이상해지고.... 근데 그 증상이 요즘들어 너무너무 심해졌다고 느껴요
얼마나 심각하냐하면 쌤이 교과서 읽어보라고 시키는 정도에도 시도때도없이 저 증상이 나타난다니까요,,,, 그거때문에 애들이 날 어떻게생각할까 걱정도 심하고 눈치보이고,,
저증상 때문에 원래 낮가림이 좀 있는편이였는데 요즘은 새 친구한테 다가가는 것도 힘들어요..

1. 네이버에서 찾아보니까 이게 대인기피증 증상이던데 맞나요?
2. 병원 안가고 빠른시간안에 고칠 방법은 없나요?
3. 발성장애가 있는것같은데 어렸을때 편도수술 한 것과 관련이있을까요>???
4. 있다면 해결방법도 알려주세요 ㅜㅜ

대학 가려면 면접도 준비해야되는데 이게 걸림돌이 될까봐 스트레스받고 진짜 너무힘들어요
제발 도와주세용",발표공포증?대인기피증?? 제발 도와주세요
7,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

세로토닌과 도파민은 대표적 신경전달물질로 뇌의 여러부분에 분포하는 수용체의 작용을 통해 영향을 미칩니다.
단순히 두 가지 신경전달물질이 서로 길항(대항)하거나 효과를 올려주는 식의 작용으로 설명하기에는 두 신경전달물질은 종류도 다양하며 분포가 너무 다양합니다.

최종 작용 결과로만 설명하여도 둘 사이는 단순 길항관계로 보기에는 어렵습니다. 뇌의 부위에 따라 어떤 곳에서는 반대의 작용을 하기도 하며, 어떤 곳에서는 상호보완을 하기도 하는 등 영역에 따른 차이도 많기 때문에 둘의 관계를 한마디로 정의하기는 어렵겠습니다.",정신건강의학과,"세로토닌과 도파민은 길항하잖아요.
그렇다면 세로토닌이 상대적으로 높다면
도파민은 그에 비해 낮나요?
그 반대로도 도파민이 상대적으로 높으면 세로토닌이 낮은거 맞나요?
굳이 비율로 따지면 세로토닌이 70이면 도파민 30
도파민 70이면 세로토닌 30 이런식인가요?",세로토닌 도파민
8,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

멀타자핀 7.5mg 짜리 정제 반알을 말씀하시는 것 같습니다.
사용하고자 하는 목적과 용법은 모르겠지만 일반적인 우울증, 불안장애의 치료 목적으로 사용하기 위한 시작 용량으로는 무리가 없습니다. 다만 멀타자핀의 경우 낮은 용량에서 졸리움과 같은 부작용이 높은 용량보다 조금 더 많은 경우가 있으니 이 점에 주의하시면 좋겠습니다.",정신건강의학과,"미르타자핀(우울증치료제) 복용량을 3.75mg으로 시작해도 되는지 궁금합니다.

답변 부탁 드립니다.",미르타자핀(우울증치료제) 복용량을 3.75mg으로 시작해도 되나요?
9,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

약 자체가 세다 약하다 하는 기준 자체가 많을 수 있어 말씀드리기 어렵습니다.

용량을 기준으로 설명드리면 우울증, 불안장애에서 권장 사용하는 렉사프로의 용량은 10mg입니다. 아빌리파이의 경우 우울증의 보조요법으로부터 조울증, 조현병 등 광범위하게 사용하는 약물로 가장 작은 판매 용량이 2mg 입니다.

진단과 용법 등을 확인할 수 있어야 약물의 용량이 적절한지 우선 확인할 수 있으며, 같은 용량, 같은 진단이라도 부작용이나 효과는 개인에 따라 차이가 날 수 있습니다.",정신건강의학과,"렉사프로정
아빌리파이정",렉사프로10mg 아빌리파이2mg 약 쎈건가요?
