,label,question
0,1,신경 정신 정상 소견 신경 정신과 정상 소견 진단서 검사 상담 진료 정상 소견 가능 가요 종합 검사 부담
1,5,우울증 복용 관련 질문 우울증 상담 졸음 현상 호전 정도 복용 중단 중단 지도 주일 정도 졸음 현상 호전 담당 의사 신뢰 학생 공부 하루 이상 제발
2,4,집중력 부족 혼자 공부 문제 사람 여럿 학원 학교 만약 사람 다리 손톱 행동 인식 순간 수업 시험 그것 신경 시야 친구 질문 친구 생각 점령 학교 시험 앞자리 시험 감독 선생 시선 그것 인식 시험 핑계 생각 인식 사람 그것 신경 강박 관념 청심환 도움
3,5,항우울제 부작용 사항 우울 처방 약물 변경 약물 복용 중단 하루 지속 중지
4,3,정신병 증상 정신병 증상 중증 우울 에피소드 정신병 증상 중증 우울 에피소드 여기 구분 정신병 증상
5,1,세로토닌 파민 세로토닌 도파민 길항 세로토닌 상대 도파민 반대 도파민 상대 세로토닌 비율 세로토닌 도파민 파민 세로토닌
6,6,미르 타자 우울증 치료제 복용량 시작 미르 타자 우울증 치료제 복용량 시작 답변 부탁
7,6,렉사 프로 빌리 파이 건가요 렉사 프로 리파 이정
8,2,조울증 담당 정신 의사 다이어트 동네 의원 조울증 조울증 환자
9,5,항우울제 복용 생리통 놀이 소염 진통제 약물 정신 과약 캡슐 카세 빌리 파이 비뇨기 과약 하루 날디 베타 가정 어정 놀이 소염 진통제 입력 정신 과약 수면제 답변 부탁 전문 가분 답변 채택 사절
10,1,정신 다한증 무엇 집중 손발 물건 때문 정도 정신과 다한증 치료
11,2,훈련소 조치 정신 개월 치료 진단 입원 대학 병원 진료 기록 정신 처음 입원 치료 건가요 병원 부담 입원 치료 거부 개월 동안 통원 치료
12,3,신경 안정 처방 회사 친구 신경 안정제 평소 복용 생각 바보 질문 평소 신경 정신 관련 이거 안정 감사
13,5,식욕 억제제 장기 복용 분노 조절 장애 식욕 억제제 이상 목적 무기력 아무것 불안 불안 처방 내성 건지 식욕 억제 문제 룸메이트 소리 소리 신경 운전 난폭 운전 예전 물건 쇼핑 무언가 강박 구매 누가 어디 자신감 사람 동네 아저씨
14,2,기초 생활 수급 정신 진료비 보험 적용 보험 적용 치과 치료 산부인과 치료 이비인후과 등등 진료 정신과 심리 상담 검사 정신 진료 보험 적용 정도
15,4,더럴 더럴 페니 데이트 계열 고요
16,5,진료 비용 타약 진단 처음 상담 설문지 정도 약용량 가격 약값 정도 정도 미만 진료비 정도 정도 진료비 정도 보험 처리 건가요 이곳 건가요 평균 가격 이게 기록 정신과
17,4,선택 세로토닌 재흡수 억제제 선택 용어 건가요 선택 세로토닌 재흡수 억제제 선택 용어 건가요 세로토닌 재흡수 억제 세로토닌 재흡수 억제제
18,5,정신 복용 질문 건데요 생각 정도 건가요 일상 무기력
19,4,부작용 알프 일레 노정 건가요 조금 답변 부탁
20,5,과민성 대장 증후군 질문 스트레스 불안감 과민성 대장 증후군 벤라팍신 알프라졸람 처방 알프라졸람 복용 긴급 복용 건데요 아침 외출 때문 고생 벤라팍신 식사 복용 아침 공복 복용 부작용
21,5,정신과 상담 항우울제 처방 정신과 상담 항우울제 처방 질문
22,5,우울증 복용 우울 처음 복용 생각 주치 복용 기분 진료 선생 세기 말씀
23,1,리전 우울증 생리 일전 우울증 증세 남친 시기 우울 짜증 사람 이유 기억 주변 사람 우울 이해 리전 우울증
24,2,인데 세알 정도 복용 부작용 연주 사람 시험 복용 타악기 시험 떨림 중요 연주 그걸 당황 긴장 연습 물거품 시험 처음 반개 약효 세알 세알 가요 하나 박자 때문 혈압 참고 저혈압
25,2,달전 처방 정신 과약 유통 기한 달전 처방 정신 과약 유통 기한 수면제 처방 유통 기한 정신
26,1,정신 상담 문의 엄마 정신 문제 텔레비전 정신 병원 정신과 환자 강제 입원 장면 방문 하수구 최근 변기 치과 치과 세척 그린 잇몸 시작 동네 정신과 영상 사진 환자 본인 대리 상담 내원 환자 본인 얘기 병원 정신과 얘기 우울증 얘기 노이로제 입원 생각 환자 본인 대리 상담 대리 처방 가능 건지
27,3,학교 폭력 피해자 학교 폭력 피해 정신과 사람
28,3,우울증 상담 처방 치료 가능 기간 우울 상태 상담 시간 에너지 소모 이야기 타입 이야기 만큼 무기력 우울증 증상 무력감 만성 피로 집중력 결핍 피해 의식 망상 일상 생활 방해 신경 문제 우울증 상담 처방 증상
29,1,정신 건강 학과 다이어트 보조제 처방 가입 보험 영향 보험 가입 운동 보조제 처방 여기저기 유명 비만 진료 정신 건강 학과 정신 학과 치료 보험 이익 이야기 비만 진료 정도 건데 보험 피해
30,6,부트 혼용 사용 우울증 치료 관련 부트 복용 부트 픽스 복용 건가요
31,4,신경 정신 약제 질문 아버지 정신 분열증 신경 정신 치료 복용 마지막 불신 복용 중단 과정 군대 정도 일주 원래 정도 혜택 건지 건강 보험 관련 건가요 문의 건지
32,2,이게 환청 과거 상황 대화 소리 선명 대화 내용 정확 심리 불안 직전 하루 피곤 생각 특정 사람 소리 소리 소리 영화 장면 일부 등장인물 대사 등등 자극 불안 유발 소리 병원 증상
33,3,기분 조절 이름 조울증 증상 처방 이름
34,3,이게 공황 장애 여자 우울증 한약 복용 공황 증상 무언갈 증상 며칠 생각 머리 순간 음식점 자리 최근 저번 머리 머리 증상 불안 느낌 증상 공황 공황
35,3,최근 조현 최근 조현 음성 증상 효과
36,1,시간 시간 피곤 상태 하루 시작 만취
37,3,알콜 중독 테스트 치료 국가 무료 프로그램 안녕 제목 국가 알콜 중독 관련 프로그램 국가 무료 프로그램 일반 병원 프로그램 금액 대충
38,3,서울 충청 현증 병원 초반 여자 현증 치료 개인차 서울 충청 치료 병원 추천 병원
39,1,인지 행동 치료 가능 병원 대학 병원 이외 소규모 정신 건강 학과 인지 행동 치료 비용 얼마
40,3,환청 불안 여학생 아침 학교 주변 학교 소음 친구 이름 소리 특정 목소리 그게 개월 간헐 학교 소리 스트레스 반복 소리 정도 그것 때문 밤잠 정도 개월 윗집 발소리 소리 거실 티비 소리 부모 소리 자기 자기 거실 티비 소리 티비 계속 이상 잡음 정신 소리 잡음 잡음 발소리 진동 피해 마음 불안 소리 자체 발소리 티비 잡음 부모 대화 소리 누가 방문 심장 불안 불안 문제 불안 심장 정도 우울 경험 진행 정확 병원 진단 우울증 조울증 판단 본지 정신 정도 이상 관련 이게 환청 환청 뭔가 증후군 현상 병명 그걸 해결 방법 환청 정신병 정신 건강 의학 환청 잡음
41,1,신경 정신 병원 려고 신경 정신 병원 병원 환자 이제 진료 시간 이상 병원 군데 정도 심리 검사 심리 검사 비용 려고 고민 병원 기록 심리 검사 정신 토요일 진료 병원 평일
42,5,스틸 녹스 수면제 대체 건가요 스틸 녹스 수면 유도 사람 하루 이상 이전 의사 멜라토닌 수면제 스틸 녹스 대체 변화 주치의 복용 변화 의미 이게 스틸 녹스 의사 답변 부탁
43,1,업무 중도 입사 반년 사회 초년생 업무 중도 기억력 붕어 수준 초등학생 실수 요즘 자괴감 팀원 미안 민폐 정신 치료 중도 효율 업무 기억력 행동 습관 운동 무엇 의사 선생 전문가
44,3,주의력 결핍 계속 피곤 증상 부분 기억 부분 반복 페이지 생각 수업 시간 집중 수업 생각 이상 집중 휴대폰 현상 학기 시작 뭔가 문제 생각 학기 사이 텀블러 개정 책상 오늘 텀블러 생각 정도 자서 정도 시간 시간 평상시 피곤 수업 집중 공부 어려움 예전 질문 참고 대학교 학년 남성
45,3,조현 부작용 리스 페리돈 효과 생리 느낌 머리 부작용 이건 사회생활 지장 정도 고요 병원 위험 신중 평생 삼성 의료 정신 가요
46,2,병원 정신 기록 병원 정신과 진료 기록 나중 취업 진학 부분 이익
47,4,민정 복용 질문 민정 정신 기억 가요
48,4,불안 증세 소화 마음 불안 긴장 병원 하나 가을 건가
49,2,정신 병원 진료 기록 지장 안녕 여중 동안 우울 감정 대문 기미 정신과 우울증 정도 자해 정도 하루하루 밧줄 숨통 느낌 어디 건데요 정신 병원 진료 기록 때문 회사 취직 대학 진짜 만약 진짜 정신 병원 걸까요
50,3,종학 심리 검사 대학 병원 종합 심리 검사 하루 종일 이걸로 성인 진단 가능 지요 우울증 위주 면담 지능 검사 검사 걱정
51,6,브린 릭스 부작용 브란 릭스 프람 얼마 위궤양 부작용
52,2,달째 평소 시간 정도 평일 시간 주말 보통 최근 사이 야근 새벽 주말 새벽 자도 암막 수면 안대 마게 자기 시간 컴퓨터 핸드폰 우유 자기 시간 검색 숙면 감초 추출물 소용 평소 환경 피곤
53,4,카페인 중독 의심 증상 직장인 주변 친구 커피 대수 인터넷 카페인 중독 증상 증상 확신 대학생 커피 하루 전부 취업 컴퓨터 피곤 커피 예전 평소 텀블러 크기 야근 피곤 최대 때문 생각 평균량 관여 의존 커피 생각 때문 중독 하루 피곤 퇴근 정도 커피 피곤 편두통 머리 이거 장염 때문 증상 얘긴 커피 하루 내과 진료 건가요 전문 상담 병원 건가요
54,5,회사 사고 생산직 요세 사고 걱정 주일 요세 일정 사고 때문 사람 사고 사고 스트레스 사고 생각 내일 사고 다음 사고 사고 원인 정신 상태 호기심 이것저것 생각 사고 이것 생각 저것 생각 혼자 노래 사고 제도 호기심 검사 불량 아침 정신 상태 호기심 회사 심정
55,4,우울증 복용 부작용 질문 사람 프리 스틱 방정 복용 반대 흥분 성적 흥분 성욕 첫날 부작용 이상
56,5,항우울제 체중 변화 정신과 처방 항우울제 몸무게 외식 군것질 몸무게 하루 아침 몸무게 이게 항우울제 부작용 항우울제 효과
57,2,처음 정신과 무료 상담 센터 증상 정신과 치료 오랫동안 무기력증 우울증 대인 기피 정신 상담 관련 종사자 답변 주변 시간 거리 사정 상담 기록 보험 진료 처방 보험 처리 방법 비용 상담 초반 상담 처방 가능 상담 병행 차이 사정 때문 여의사 선생 진료 의사 선택 병원 조언 병원 병원 후기 아무거 동안 가정 형편 부족 성격 혼자 의지 극복 병원 생각 결심
58,1,정신 의사 심리학자 차이 정신 의사 학생 정신 의사 심리학자 상담 약물 처방 공부 분야 모의 면접 친구 상담 면접 상담 심리학자 정신 의사
59,4,알코올성 이중인격 안녕 여성 주체 주량 습관 인격 예의 스타일 폭력 쓰레기 인격 생각 기억 행위 의심 정신 상담 이중인격
60,2,인데 처방 회사 입사 신상 정보 조회 심장 면접 때문 내과 보험 처리 처방 엄마 회사 신상 정보 조회 질환 걱정
61,5,합리 사고 합리 생각 사고 건가요 합리 사고 합리 사고
62,5,알프 산도스 설트랄린 복용 기간 부작용 알프 산도스 설트랄린 가지 종류 자기 복용 경우 보통 얼마 동안 기간 동안 복용 일반 정도 복용 증상 경우 투약 중단 보통 정도 복용 건지 약물 부작용 통상 복용 기간 노란색 알약 가려움증 반응 약물
63,1,불면증 병원 저희 지역 불면증 병원 정신과 신경과 어디 정신 심리치료 소리 티비 불면증 때문 정신 사람 불안
64,2,신경 정신 서울 정신과 지방 증상 느낌 지방 병원 처방 느낌 근처 정신과 처방
65,4,눈물 여자 눈물 주체 정도 이거 방법 오늘 직장 눈물 방법 선생 조울증 조울증 증상
66,2,이것 불면증 학교 백수 자지 부모 출근 출근 오후 저녁 시간 피곤 하루 이틀 밤낮 정상 원점 방법 오늘 오후
