,answer,question,title
0,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

정신건강의학과 진료 역시 다른 진료과와 마찬가지로 건강보험 적용이 가능합니다. 또한 의료급여의 경우 타진료과와 같은 적용을 받습니다. 다만 방문회수 등에 제한이 있을 수 있으나 일반적인 진료의 경우 큰 제한이 되는 경우는 많지 않습니다. 부담갖지 마시고 가까운 정신건강의학과 방문하시는 것이 좋겠습니다.","보험 적용 되는 치과 치료, 산부인과 치료, 이비인후과 등등 진료들은 다 1000원 밖에 내지 않는데 정신과에 가서 심리상담 같은 것만 받으면 얼마나 나오나요? 다른 검사까지 하면 또 얼마나 나올까요? 정신과 진료도 보험 적용이 돼서 1000원 정도 밖에 안나오나요?",기초생활수급자 정신과 진료비 보험 적용 되나요?
1,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

렉사프로와 같은 항우울제(SSRI)는 성기능과 관련된 부작용이 종종 발생합니다.
이 경우 용량을 줄이거나 다른 약으로 교체하기도 하며, 혹은 다른 계열의 항우울제를 추가 하는 경우에 이러한 부작용이 줄어들기도 합니다.

즉, 해결할 수 있는 방법이 다양하기 때문에 그냥 기다리시는 것 이외에 주치의 선생님과 상의하여 적극적으로 부작용을 개선하시는 것이 좋겠습니다.",이제복용한지일주일이다되어가는데요 성기능장애를겪고있어요 발기가되질않습니다 어떻게해야하나요 약을중단해야하나요 아니면시간이지나면 없어지나요 계속복용할까요 렉사프로 십미리 먹고있습니다 답변부탁드리겠습니다,렉사프로 부작용으로 성기능장애를겪고있습니다
2,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

작성하신 글의 내용은 전형적인 리스페리돈 부작용이 추체외로계 부작용입니다. 이러한 부작용이 나타나는 용량이나 약물은 개인차에 의해 다르긴 하지만 치료법은 크게 두 가지 입니다.

한가지는 현재 약물의 치료효과가 우수하다고 판단될 경우 부작용을 조절하는 약물 추가하여 증상은 완화시키는 것입니다.

다른 하나는 약물 용량은 줄이거나, 다른 계열 약물로 변경하는 것입니다.
실제 진료현장에서는 두가지 방법을 순차적으로 사용하거나 같이 시행하기도 합니다.

현재 증상 정도와 부작용으로 인한 문제가 어떤 정도인지는 주치의와 상의하면 구체적으로 정확하게 판단가능할 것입니다. 선생님과 상의하여 신중하게 조절하시기 바랍니다.","리스페리돈 2mg 먹고있는데요
효과는 좋지만 생리도 끊겼고
밤만되면 가끔 눈이 치켜올라가는 느낌
머리가 땡기는 부작용이 있습니다
이건 사회생활에 지장을 줄정도고요
병원에서는 약 바꾸는건 위험 하다고 합니다
저도 그런점에선 신중하지만
평생 이러고살순없잖아요 답답합니다
삼성의료원 정신과 많이 비싼가요?
전 어떻게 하면 될까요?",조현병약 부작용이 있습니다.
3,"잠꼬대가 심하신것같은데 스트레스성 잠꼬대 같습니다
평상시에 좋아하시는것을 하면서 스트레스를 좀 풀어주세요","전 아예 인지를 못하고 있습니다. 머 꿈같은것도 꾸지도 않고 그러는데.. 잘때마다 소리지르고 욕을 한다고..
이러한 것들은 어떻게 해결해야 하나요?",잘때마다 어머님께서 소리를 지른다고 하십니다.
4,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

증상이 호전되었음에도 약물 처방이 지속되어서 질문하신 것 같습니다.

우선 진단이나 완치 여부는 심리검사 여부를 가지고 내리지는 않습니다. 심리검사에서 정상이라 해도 진단은 가능하고, 진단되었다고 해서 반드시 심리검사에서 이상소견이 나타나지 않을 수도 있습니다.

충분한 기간 약물 치료를 하신 것으로 보이고 중단 후에도 증상이 없는 것으로 보여집니다. 위와 같은 현상에 대해 주치의와 이야기를 해보시면 치료를 종결하는 것도 큰 무리는 없어보입니다.",제목 그대로 주치의가 약을 계속 처방합니다 다른병원가서 과거 병력 얘기하지않고 종합 심리검사 받고 정상소견 나오면 완치가 되었다고 봐도 되나요? 약 안먹고 지금 6개월인데 괜찮아서요 병명은 적응장애 공황 이런건데,정신과 저는 이제 괜찮아 진것같은데
5,"조울증은 감정기복이 굉장히 심해져요.
 무슨일이든 자신만만 했다가
갑자기 우울해져서 아무것도 하기 싫어졌다가의 간극이 굉장히 큽니다.
 저의 경우 우울증으로 시작해서 조울증이 같이 왔는데
리튬이라는 약물을 먹고 그나마 그 간극이 줄어들었어요.
 학교는 일단 휴학해보는게 어떨까요?
그리고 정신건강증진센터의 선생님과 상담을 받아보세요.
일반 개인병원보다는 병원비가 저렴하다고 들었습니다.","너무 답답하고 저도 저를 잘 모르겠어서 이렇게 글을 씁니다 현재 저는 대학교3학년에 재학중이구요 평소에 저는 되게 똑똑하고 무엇이든 다 할 수 있을것 같고 최선을 다해 열심히하려는 편인데 갑자기 무슨계기인지는 모르겠지만 극도로 아무것도 하지 않게 되고 과제도 제출하지않고 그냥 집에 처박혀지내고만 싶어집니다 죽음에 대한 생각도 많이 하게되구요 2 학년때도 이런 생활을 하다가 학사경고를 받았고 이번학기에도 저의 이런감정들이 얽혀들어가 저에게 안 좋은 영향을 미칠것 같고 학교는 좋은데 자퇴하고 싶습니다. 일단은 정신건강증진센터??라는 곳에서 예약 후 상담하고싶은데 부모님께 이런거에 대해 한번도 말씀드린적이 없고 어떻게 해결할런지 정신과 선생님이 해주시지 않을까?
이런생각도 들고 제가 교회도 다니는데 왜 해결이 안되는지 모르겠고 사람들 말이 이해가 잘 안가기도 하고 망상도 많이 하는편인건지 모르겠지만 죽음에 대한생각이 많이듭니다. 밥먹는것도 의욕이 안생겨 하루 한끼정도 먹다가안먹다가 배고프면 먹기도하고 일단 두서가 없지만 성의있는 답변 부탁드릴께요",조울증인가요?
6,"   안녕하세요
  2~3년동안 복용하신거면 짧은 기간은
아닌데 한번에 갑자기 끊으시면 또 불면증 증상이
올 수 있으니 다니시는 정신과 담당의와 상담해서
조금씩 줄여가면서 끊어보시는게 좋을거같아요 ^^
  ","제가 불면증때문에 정신과를 다녀요. 약멱은지 2.3년 됐어요.
근데 이젠 약을 끊고 자고 싶습니다.
그냥 끊어도 부작용 없나요?",정신과 의사선생님 질문이요
7,밤에 숙면을 하셔야 잘 일어나실 수 있으니 신경을 안정시켜 잠을 잘 오게 하는 라벤더차나 카모마일차를 밤에 드세요. 마트에 팝니다.,"저는 21살 대학생이구요.

제가 어렸을때부터, 초등학교 고학년~고3까지 지각 한번이 없습니다.
결석도 당연히 없고 그만큼 나름 성실합니다.

그런데 문제가 있습니다.
지각이 없는 이유중 하나가 다음날 못일어날까봐 
걱정이되서 잠을 얕게자거나 잠이 잘 안옵니다.

다음날 못일어나면 안되는데.. 이런 생각이 은연중에 박혀있습니다.
그러다보니 계속 새벽에 깨고 난리도 아닙니다.

물론 알람도 맞춰놓고 그렇지만 못일어날까봐 걱정이 됩니다.

어떻게하면 이런 마인드를 고칠수 있을까요.",못일어날까봐 걱정되서 불면증이 있습니다.
8,"우울증약을 약국에서 구입하실수는 없습니다.
정신과등에서 상담 후 처방을 받으셔야 합니다.","병원에 갈 시간은 없고 우울증 치료는 하고 싶어서
약을 복용 해볼까 합니다.
약을 약국에서 구입할수 있나요?",항우울제 복용하고 싶은데 꼭 병원을 가야하나요?
9,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

자격 취득과 관련하여 정신과 진료로 인한 걱정을 하고 계시는 것 같습니다.

 현행 정신보건법상 정신질환자는 특정 자격, 면허 취득에 제한이 있는 것은 사실입니다. 영양사도 국민영양관리법에 의거하여 이에 해당합니다. 그러나 이 정신질환자의 범위가 지나치게 넓고 기능수준을 고려하지 않은 부분이 있어 문제가 지속적으로 있어왔습니다. 

 금년 5월 정신보건법이 전면 개정되면서 정신질환자에 대한 개념이 상당히 축소됩니다. 현재와 달리 ""독립적으로 일상생활을 영위하는데 중대한 제약이 있는 사람""이라는 단서가 붙어 가벼운 우울증, 공황장애와 같은 조절과 치료 가능한 불안장애의 경우에는 위와같은 불이익이 상당히 해소될 것으로 기대하고 있습니다. 

 정신과 진료 기록은 병원에 보관되며 이 정보가 본인 동의없이는 외부로 알려지지는 않습니다. 즉, 자격취득시 해당 사실을 통보하지 않으면 현재는 이 사실을 확인할 수는 없는 실정입니다. 진료후 전문의의 진단을 통해 직업유지에 대한 제한이 없다는 의견이 첨부될 경우 제한이 없는 경우도 있으니 관련 법령과 해당 담당 기관에 자세히 질의해보시는 것이 좋겠습니다. ",정신질환이 있는 사람은 안될수 있다고 하더라구요 제가 공황장애가 있는데 1년동안 치료약을 복용하고 병원다녀서 이제는 아무렇지 않거든요 그래도 꼬박꼬박 아직은 약을 복용하고 있어요 이게 문제가 될까요?? ㅠㅠ,영양사 자격증을 발급해야하는데
